,id_municipio,total,automovel,bonde,caminhao,caminhao trator,caminhonete,camioneta,chassi plataf,ciclomotor,micro-onibus,motocicleta,motoneta,onibus,quadriciclo,reboque,semi-reboque,side-car,outros,trator estei,trator rodas,triciclo,utilitario
0,5200050,5889.0,2743.0,0.0,230.0,60.0,594.0,127.0,0.0,51.0,16.0,1337.0,263.0,32.0,0.0,341.0,55.0,0.0,1.0,0.0,0.0,1.0,38.0
1,5200100,6873.0,3375.0,0.0,377.0,58.0,795.0,171.0,0.0,11.0,40.0,1333.0,247.0,41.0,0.0,327.0,53.0,0.0,0.0,0.0,0.0,2.0,43.0
2,5200134,13894.0,5857.0,0.0,503.0,343.0,1536.0,258.0,0.0,74.0,32.0,2524.0,1302.0,142.0,0.0,580.0,619.0,0.0,1.0,0.0,4.0,2.0,117.0
3,5200159,1446.0,659.0,0.0,44.0,2.0,172.0,34.0,0.0,10.0,1.0,354.0,65.0,8.0,0.0,88.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
4,5200175,1328.0,659.0,0.0,62.0,17.0,156.0,32.0,0.0,1.0,15.0,246.0,21.0,26.0,0.0,68.0,18.0,2.0,0.0,0.0,0.0,0.0,5.0
5,5200209,939.0,519.0,0.0,26.0,1.0,119.0,17.0,0.0,2.0,4.0,170.0,34.0,3.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6,5200258,39747.0,16966.0,0.0,1400.0,112.0,2652.0,1165.0,5.0,260.0,225.0,6839.0,764.0,734.0,0.0,8319.0,131.0,6.0,20.0,0.0,7.0,23.0,119.0
7,5200308,14977.0,7831.0,0.0,597.0,78.0,1398.0,362.0,0.0,95.0,61.0,2528.0,839.0,66.0,0.0,921.0,96.0,0.0,6.0,0.0,3.0,8.0,88.0
8,5200506,1314.0,566.0,0.0,37.0,6.0,118.0,19.0,0.0,5.0,2.0,367.0,112.0,6.0,0.0,65.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0
9,5200555,3106.0,1293.0,0.0,88.0,29.0,386.0,56.0,0.0,14.0,17.0,640.0,296.0,68.0,0.0,163.0,41.0,0.0,0.0,0.0,1.0,0.0,14.0
10,5200605,3149.0,1373.0,0.0,98.0,11.0,502.0,118.0,0.0,9.0,11.0,625.0,77.0,20.0,0.0,188.0,22.0,0.0,4.0,0.0,0.0,2.0,89.0
11,5200803,4548.0,2219.0,0.0,178.0,39.0,481.0,53.0,1.0,20.0,12.0,954.0,233.0,19.0,0.0,259.0,55.0,4.0,1.0,0.0,1.0,0.0,19.0
12,5200829,871.0,334.0,0.0,21.0,1.0,115.0,14.0,0.0,6.0,4.0,279.0,41.0,15.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13,5200852,3266.0,1376.0,0.0,91.0,7.0,375.0,65.0,0.0,37.0,13.0,874.0,180.0,33.0,0.0,185.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0
14,5200902,1766.0,699.0,0.0,39.0,22.0,222.0,28.0,0.0,5.0,7.0,530.0,86.0,11.0,0.0,88.0,23.0,0.0,0.0,0.0,0.0,1.0,5.0
15,5201108,308915.0,152014.0,0.0,10358.0,3498.0,25672.0,9738.0,5.0,1086.0,411.0,58581.0,20944.0,1818.0,0.0,11197.0,5539.0,1.0,45.0,0.0,13.0,54.0,7941.0
16,5201207,597.0,358.0,0.0,11.0,2.0,59.0,6.0,0.0,0.0,0.0,119.0,16.0,3.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5201306,13331.0,6238.0,0.0,423.0,86.0,1350.0,264.0,0.0,121.0,37.0,2654.0,1028.0,117.0,0.0,824.0,128.0,0.0,2.0,0.0,1.0,4.0,54.0
18,5201405,340642.0,159884.0,0.0,8248.0,2226.0,20186.0,7572.0,19.0,3001.0,547.0,96056.0,21540.0,743.0,0.0,14767.0,3884.0,4.0,60.0,1.0,25.0,63.0,1816.0
19,5201454,1557.0,733.0,0.0,89.0,22.0,211.0,40.0,0.0,12.0,19.0,280.0,53.0,12.0,0.0,52.0,24.0,0.0,1.0,0.0,0.0,0.0,9.0
20,5201504,2164.0,986.0,0.0,115.0,21.0,306.0,64.0,0.0,10.0,11.0,348.0,86.0,45.0,0.0,103.0,46.0,0.0,1.0,0.0,2.0,0.0,20.0
21,5201603,2358.0,1143.0,0.0,40.0,8.0,244.0,47.0,0.0,10.0,10.0,560.0,124.0,13.0,0.0,134.0,17.0,0.0,0.0,0.0,0.0,3.0,5.0
22,5201702,16316.0,7076.0,0.0,468.0,74.0,1539.0,352.0,0.0,188.0,21.0,3944.0,1669.0,41.0,0.0,745.0,103.0,1.0,3.0,0.0,1.0,2.0,89.0
23,5201801,5363.0,2526.0,0.0,122.0,19.0,533.0,90.0,0.0,46.0,4.0,1471.0,251.0,16.0,0.0,241.0,19.0,0.0,1.0,0.0,0.0,2.0,22.0
24,5202155,4161.0,1619.0,0.0,134.0,30.0,425.0,53.0,0.0,59.0,13.0,1159.0,318.0,23.0,0.0,284.0,26.0,0.0,0.0,0.0,0.0,0.0,18.0
25,5202353,1372.0,552.0,0.0,31.0,5.0,229.0,29.0,0.0,19.0,17.0,359.0,25.0,10.0,0.0,77.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0
26,5202502,3336.0,1204.0,0.0,95.0,23.0,321.0,61.0,0.0,54.0,2.0,902.0,321.0,24.0,0.0,263.0,47.0,0.0,0.0,0.0,0.0,3.0,16.0
27,5202601,1695.0,808.0,0.0,37.0,1.0,201.0,29.0,0.0,46.0,5.0,436.0,39.0,7.0,0.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
28,5202809,1483.0,686.0,0.0,61.0,5.0,182.0,29.0,0.0,10.0,4.0,362.0,45.0,3.0,0.0,77.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0
29,5203104,488.0,190.0,0.0,11.0,4.0,79.0,16.0,0.0,7.0,3.0,115.0,25.0,10.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0
30,5203203,6053.0,2654.0,0.0,263.0,214.0,677.0,101.0,0.0,26.0,54.0,891.0,357.0,116.0,0.0,323.0,332.0,0.0,0.0,0.0,0.0,2.0,43.0
31,5203302,20556.0,8454.0,0.0,594.0,182.0,2231.0,433.0,0.0,71.0,56.0,5556.0,1639.0,65.0,0.0,918.0,242.0,1.0,5.0,0.0,1.0,19.0,89.0
32,5203401,4607.0,1455.0,0.0,152.0,80.0,590.0,68.0,0.0,62.0,11.0,1249.0,510.0,40.0,0.0,224.0,146.0,0.0,1.0,0.0,0.0,1.0,18.0
33,5203500,,,,,,,,,,,,,,,,,,,,,,
34,5203559,4068.0,1883.0,0.0,101.0,8.0,424.0,75.0,0.0,9.0,8.0,1134.0,245.0,10.0,0.0,156.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0
35,5203575,1096.0,325.0,0.0,31.0,5.0,135.0,21.0,0.0,3.0,6.0,448.0,75.0,14.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0
36,5203609,1690.0,831.0,0.0,67.0,15.0,150.0,25.0,0.0,17.0,3.0,390.0,69.0,6.0,0.0,94.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0
37,5203807,3349.0,1471.0,0.0,129.0,14.0,348.0,70.0,0.0,37.0,17.0,731.0,261.0,15.0,0.0,218.0,27.0,0.0,0.0,0.0,0.0,1.0,10.0
38,5203906,6684.0,3491.0,0.0,251.0,105.0,770.0,164.0,0.0,30.0,46.0,948.0,337.0,18.0,0.0,322.0,141.0,0.0,2.0,0.0,0.0,0.0,59.0
39,5203939,2018.0,878.0,0.0,37.0,4.0,240.0,30.0,0.0,11.0,9.0,611.0,40.0,3.0,0.0,142.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0
40,5203962,1144.0,582.0,0.0,30.0,4.0,89.0,16.0,0.0,10.0,2.0,315.0,39.0,9.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
41,5204003,3257.0,1706.0,0.0,166.0,29.0,363.0,57.0,0.0,6.0,17.0,573.0,163.0,35.0,0.0,81.0,53.0,0.0,0.0,0.0,0.0,2.0,6.0
42,5204102,6157.0,2961.0,0.0,194.0,38.0,776.0,112.0,0.0,65.0,27.0,1077.0,494.0,78.0,0.0,239.0,62.0,0.0,0.0,0.0,1.0,2.0,31.0
43,5204201,683.0,341.0,0.0,13.0,9.0,87.0,11.0,0.0,4.0,2.0,150.0,11.0,3.0,0.0,39.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0
44,5204250,4465.0,2218.0,0.0,137.0,69.0,420.0,86.0,0.0,56.0,14.0,733.0,311.0,57.0,0.0,250.0,96.0,1.0,1.0,0.0,0.0,3.0,13.0
45,5204300,9103.0,4072.0,0.0,393.0,101.0,1328.0,219.0,0.0,81.0,32.0,1456.0,648.0,52.0,0.0,494.0,141.0,0.0,2.0,0.0,0.0,4.0,80.0
46,5204409,9993.0,4079.0,0.0,368.0,159.0,1673.0,240.0,0.0,57.0,20.0,1780.0,725.0,25.0,0.0,532.0,241.0,0.0,1.0,0.0,0.0,1.0,92.0
47,5204508,71622.0,27982.0,0.0,966.0,137.0,5765.0,1468.0,0.0,808.0,151.0,19616.0,11059.0,147.0,0.0,2733.0,194.0,3.0,37.0,0.0,1.0,36.0,519.0
48,5204557,2283.0,831.0,0.0,52.0,3.0,300.0,40.0,0.0,9.0,9.0,872.0,59.0,5.0,0.0,91.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0
49,5204607,1793.0,762.0,0.0,64.0,2.0,179.0,28.0,0.0,14.0,3.0,512.0,90.0,9.0,0.0,117.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0
50,5204656,1631.0,649.0,0.0,46.0,7.0,236.0,34.0,0.0,8.0,5.0,507.0,76.0,7.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0
51,5204706,7262.0,3091.0,0.0,245.0,55.0,845.0,124.0,0.0,36.0,23.0,1698.0,599.0,31.0,0.0,376.0,79.0,0.0,0.0,0.0,0.0,4.0,56.0
52,5204805,3776.0,1723.0,0.0,187.0,97.0,586.0,101.0,0.0,8.0,29.0,591.0,189.0,36.0,0.0,74.0,130.0,0.0,0.0,0.0,1.0,1.0,23.0
53,5204854,3419.0,1513.0,0.0,244.0,27.0,489.0,62.0,0.0,4.0,5.0,681.0,235.0,8.0,0.0,108.0,23.0,0.0,0.0,0.0,0.0,0.0,20.0
54,5204904,12448.0,5033.0,0.0,358.0,57.0,1559.0,176.0,0.0,9.0,19.0,3587.0,1078.0,65.0,0.0,344.0,97.0,0.0,2.0,0.0,1.0,2.0,61.0
55,5204953,1876.0,781.0,0.0,49.0,1.0,156.0,37.0,0.0,1.0,8.0,623.0,156.0,5.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0
56,5205000,5603.0,2352.0,0.0,141.0,21.0,452.0,75.0,1.0,40.0,29.0,1566.0,473.0,61.0,0.0,323.0,50.0,0.0,0.0,0.0,0.0,0.0,19.0
57,5205059,1731.0,764.0,0.0,83.0,46.0,166.0,28.0,0.0,9.0,5.0,352.0,106.0,16.0,0.0,62.0,87.0,0.0,0.0,0.0,0.0,1.0,6.0
58,5205109,91521.0,40354.0,0.0,2401.0,1073.0,11123.0,2326.0,0.0,266.0,271.0,18148.0,7477.0,431.0,0.0,3639.0,2123.0,22.0,21.0,0.0,7.0,20.0,1819.0
59,5205208,2838.0,1309.0,0.0,59.0,8.0,460.0,61.0,0.0,11.0,6.0,606.0,128.0,10.0,0.0,153.0,19.0,0.0,1.0,0.0,0.0,0.0,7.0
60,5205307,2149.0,819.0,0.0,57.0,0.0,378.0,70.0,0.0,1.0,6.0,650.0,73.0,7.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0
61,5205406,21422.0,8458.0,0.0,590.0,71.0,1990.0,430.0,0.0,116.0,22.0,5973.0,2564.0,71.0,0.0,834.0,93.0,2.0,1.0,0.0,1.0,5.0,201.0
62,5205455,5067.0,2287.0,0.0,179.0,75.0,512.0,106.0,0.0,40.0,21.0,1073.0,380.0,37.0,0.0,247.0,91.0,0.0,1.0,0.0,1.0,3.0,14.0
63,5205471,8270.0,2999.0,0.0,414.0,321.0,945.0,253.0,0.0,53.0,19.0,1021.0,704.0,45.0,0.0,625.0,735.0,1.0,1.0,0.0,1.0,2.0,131.0
64,5205497,13438.0,6922.0,0.0,236.0,35.0,756.0,276.0,0.0,32.0,94.0,3082.0,434.0,161.0,0.0,1321.0,26.0,1.0,3.0,0.0,0.0,6.0,53.0
65,5205513,6184.0,3088.0,0.0,248.0,55.0,768.0,186.0,0.0,31.0,42.0,1041.0,225.0,44.0,0.0,322.0,97.0,0.0,0.0,0.0,1.0,2.0,34.0
66,5205521,984.0,462.0,0.0,32.0,2.0,140.0,23.0,0.0,1.0,3.0,219.0,34.0,2.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
67,5205703,1351.0,570.0,0.0,27.0,2.0,218.0,17.0,0.0,4.0,3.0,402.0,26.0,3.0,0.0,74.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
68,5205802,4883.0,2273.0,0.0,143.0,13.0,626.0,78.0,0.0,24.0,20.0,1195.0,276.0,40.0,0.0,138.0,21.0,0.0,2.0,0.0,0.0,3.0,31.0
69,5205901,5198.0,2234.0,0.0,175.0,38.0,727.0,109.0,0.0,11.0,32.0,1110.0,392.0,11.0,0.0,239.0,86.0,0.0,2.0,0.0,1.0,0.0,31.0
70,5206206,35112.0,16685.0,0.0,1980.0,788.0,4332.0,993.0,0.0,107.0,120.0,4598.0,1667.0,584.0,0.0,1557.0,1344.0,3.0,8.0,0.0,4.0,13.0,329.0
71,5206305,2241.0,1066.0,0.0,72.0,21.0,316.0,40.0,0.0,12.0,7.0,474.0,66.0,6.0,0.0,127.0,28.0,0.0,0.0,0.0,0.0,0.0,6.0
72,5206404,10015.0,4199.0,0.0,257.0,13.0,1259.0,272.0,0.0,32.0,26.0,2544.0,897.0,30.0,0.0,402.0,18.0,0.0,1.0,0.0,0.0,3.0,62.0
73,5206503,2441.0,1102.0,0.0,78.0,15.0,340.0,52.0,0.0,5.0,7.0,573.0,133.0,7.0,0.0,95.0,29.0,0.0,1.0,0.0,0.0,1.0,3.0
74,5206602,1751.0,881.0,0.0,34.0,9.0,213.0,40.0,0.0,1.0,11.0,434.0,43.0,5.0,0.0,59.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0
75,5206701,1218.0,581.0,0.0,34.0,0.0,172.0,17.0,0.0,5.0,6.0,316.0,28.0,15.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
76,5206800,1921.0,807.0,0.0,68.0,2.0,251.0,23.0,0.0,2.0,8.0,476.0,161.0,10.0,0.0,102.0,3.0,0.0,2.0,0.0,0.0,0.0,6.0
77,5206909,1033.0,504.0,0.0,38.0,7.0,192.0,16.0,0.0,1.0,5.0,203.0,23.0,8.0,0.0,17.0,16.0,0.0,1.0,0.0,0.0,0.0,2.0
78,5207105,1167.0,404.0,0.0,27.0,4.0,156.0,18.0,0.0,5.0,6.0,424.0,43.0,9.0,0.0,64.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
79,5208301,1018.0,450.0,0.0,41.0,10.0,129.0,23.0,0.0,1.0,6.0,237.0,64.0,11.0,0.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0
80,5207253,5204.0,1709.0,0.0,181.0,46.0,827.0,100.0,0.0,14.0,16.0,1668.0,357.0,44.0,0.0,139.0,79.0,0.0,1.0,0.0,0.0,0.0,23.0
81,5207352,2405.0,1071.0,0.0,104.0,36.0,309.0,41.0,0.0,4.0,14.0,510.0,162.0,15.0,0.0,73.0,58.0,0.0,1.0,0.0,0.0,0.0,7.0
82,5207402,8353.0,3446.0,0.0,315.0,130.0,1133.0,139.0,0.0,89.0,14.0,1524.0,708.0,46.0,0.0,456.0,284.0,0.0,3.0,0.0,0.0,3.0,63.0
83,5207501,1876.0,680.0,0.0,51.0,8.0,185.0,25.0,0.0,23.0,1.0,705.0,107.0,3.0,0.0,75.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0
84,5207535,2794.0,1148.0,0.0,87.0,7.0,378.0,54.0,0.0,19.0,19.0,809.0,123.0,13.0,0.0,118.0,10.0,0.0,2.0,0.0,0.0,0.0,7.0
85,5207600,3489.0,1126.0,0.0,55.0,3.0,401.0,53.0,0.0,22.0,13.0,1425.0,210.0,12.0,0.0,155.0,4.0,0.0,0.0,0.0,0.0,2.0,8.0
86,5207808,6544.0,2938.0,0.0,137.0,45.0,723.0,102.0,0.0,130.0,11.0,1469.0,472.0,8.0,0.0,426.0,55.0,0.0,0.0,0.0,0.0,1.0,27.0
87,5207907,1680.0,689.0,0.0,60.0,2.0,188.0,33.0,0.0,1.0,10.0,537.0,57.0,17.0,0.0,79.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0
88,5208004,80687.0,36610.0,0.0,3531.0,1159.0,7618.0,1735.0,3.0,437.0,243.0,13658.0,6265.0,827.0,0.0,6421.0,1776.0,18.0,20.0,1.0,8.0,30.0,327.0
89,5208103,2942.0,1004.0,0.0,73.0,23.0,352.0,37.0,0.0,29.0,6.0,1085.0,186.0,9.0,0.0,104.0,21.0,0.0,0.0,0.0,0.0,0.0,13.0
90,5208152,1358.0,588.0,0.0,47.0,29.0,247.0,29.0,0.0,0.0,3.0,289.0,18.0,18.0,0.0,44.0,38.0,0.0,0.0,0.0,0.0,0.0,8.0
91,5208400,7552.0,3613.0,0.0,307.0,34.0,921.0,154.0,0.0,8.0,26.0,1537.0,553.0,51.0,0.0,250.0,55.0,0.0,0.0,0.0,0.0,1.0,42.0
92,5208509,3044.0,1636.0,0.0,60.0,5.0,421.0,60.0,0.0,3.0,15.0,571.0,143.0,8.0,0.0,102.0,8.0,0.0,0.0,0.0,0.0,1.0,11.0
93,5208608,51505.0,22471.0,0.0,1397.0,417.0,4859.0,900.0,1.0,300.0,133.0,10902.0,6067.0,366.0,0.0,2433.0,861.0,1.0,4.0,0.0,7.0,6.0,380.0
94,5208707,1283743.0,649756.0,0.0,26616.0,6355.0,115594.0,49091.0,5.0,6652.0,2314.0,262583.0,61880.0,7283.0,1.0,62403.0,11010.0,17.0,272.0,0.0,69.0,375.0,21467.0
95,5208806,27606.0,13351.0,0.0,518.0,99.0,1834.0,571.0,0.0,377.0,47.0,7126.0,1622.0,115.0,0.0,1722.0,106.0,0.0,0.0,0.0,2.0,6.0,110.0
96,5208905,14203.0,6497.0,0.0,298.0,12.0,1755.0,371.0,0.0,84.0,22.0,3585.0,647.0,66.0,0.0,735.0,30.0,0.0,1.0,0.0,0.0,3.0,97.0
97,5209101,29047.0,12455.0,0.0,913.0,738.0,3033.0,520.0,0.0,239.0,67.0,5243.0,3175.0,168.0,0.0,1252.0,995.0,0.0,5.0,1.0,0.0,11.0,232.0
98,5209150,1983.0,1004.0,0.0,74.0,20.0,222.0,31.0,0.0,17.0,9.0,369.0,93.0,14.0,0.0,91.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0
99,5209200,8966.0,4024.0,0.0,315.0,98.0,773.0,197.0,0.0,53.0,19.0,2040.0,707.0,64.0,0.0,536.0,98.0,0.0,1.0,0.0,0.0,1.0,40.0
100,5209291,1197.0,457.0,0.0,27.0,2.0,119.0,15.0,0.0,5.0,2.0,359.0,132.0,5.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,5209408,1301.0,536.0,0.0,22.0,3.0,153.0,15.0,0.0,5.0,8.0,427.0,99.0,11.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
102,5209457,642.0,291.0,0.0,16.0,0.0,113.0,12.0,0.0,2.0,8.0,171.0,10.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
103,5209606,1973.0,836.0,0.0,51.0,1.0,211.0,36.0,0.0,11.0,7.0,621.0,83.0,10.0,0.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
104,5209705,14114.0,5769.0,0.0,1722.0,125.0,1281.0,278.0,0.0,68.0,32.0,3197.0,695.0,51.0,0.0,672.0,153.0,0.0,4.0,0.0,2.0,2.0,63.0
105,5209804,1698.0,792.0,0.0,42.0,4.0,208.0,44.0,0.0,4.0,2.0,469.0,52.0,4.0,0.0,62.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0
106,5209903,4247.0,1724.0,0.0,179.0,40.0,499.0,56.0,0.0,29.0,21.0,1107.0,389.0,27.0,0.0,89.0,68.0,0.0,0.0,0.0,0.0,1.0,18.0
107,5209937,2649.0,1158.0,0.0,77.0,40.0,248.0,53.0,0.0,73.0,12.0,620.0,195.0,20.0,0.0,98.0,51.0,0.0,1.0,0.0,0.0,0.0,3.0
108,5209952,8543.0,3898.0,0.0,310.0,193.0,772.0,151.0,0.0,112.0,24.0,1489.0,780.0,53.0,0.0,415.0,310.0,0.0,2.0,0.0,1.0,5.0,28.0
109,5210000,42823.0,18034.0,0.0,1279.0,262.0,4884.0,933.0,0.0,544.0,105.0,7628.0,5954.0,266.0,0.0,2223.0,380.0,0.0,5.0,0.0,0.0,7.0,319.0
110,5210109,15866.0,7413.0,0.0,620.0,185.0,2244.0,330.0,0.0,258.0,96.0,2539.0,1232.0,120.0,0.0,453.0,256.0,3.0,4.0,0.0,0.0,9.0,104.0
111,5210158,1521.0,617.0,0.0,36.0,6.0,165.0,20.0,0.0,0.0,8.0,511.0,72.0,11.0,0.0,67.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0
112,5210208,31794.0,12124.0,0.0,670.0,128.0,4022.0,654.0,0.0,448.0,46.0,8527.0,2679.0,55.0,0.0,2028.0,149.0,1.0,6.0,0.0,1.0,3.0,253.0
113,5210307,1272.0,539.0,0.0,46.0,11.0,139.0,18.0,0.0,4.0,5.0,374.0,38.0,9.0,0.0,75.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0
114,5210406,33464.0,13640.0,0.0,1151.0,414.0,3493.0,608.0,0.0,244.0,94.0,7021.0,3519.0,138.0,0.0,2241.0,650.0,0.0,5.0,0.0,2.0,3.0,241.0
115,5210562,3392.0,1588.0,0.0,74.0,3.0,485.0,57.0,0.0,13.0,15.0,702.0,219.0,15.0,0.0,196.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0
116,5210604,3776.0,1579.0,0.0,104.0,2.0,610.0,57.0,0.0,29.0,8.0,972.0,224.0,11.0,0.0,167.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0
117,5210802,3123.0,1508.0,0.0,130.0,11.0,505.0,106.0,0.0,48.0,12.0,525.0,97.0,26.0,0.0,120.0,16.0,0.0,0.0,0.0,1.0,0.0,18.0
118,5210901,12083.0,5335.0,0.0,287.0,47.0,1189.0,186.0,0.0,50.0,34.0,3223.0,1014.0,119.0,0.0,496.0,46.0,0.0,2.0,0.0,2.0,1.0,52.0
119,5211008,4644.0,1738.0,0.0,102.0,11.0,507.0,83.0,0.0,53.0,12.0,1497.0,317.0,17.0,0.0,264.0,25.0,0.0,1.0,0.0,0.0,0.0,17.0
120,5211206,23033.0,8708.0,0.0,469.0,98.0,2438.0,316.0,0.0,66.0,41.0,6378.0,2698.0,72.0,0.0,1413.0,202.0,0.0,0.0,0.0,0.0,7.0,127.0
121,5211305,2884.0,1201.0,0.0,112.0,24.0,555.0,81.0,0.0,32.0,24.0,530.0,153.0,22.0,0.0,115.0,17.0,0.0,0.0,0.0,0.0,1.0,17.0
122,5211404,4406.0,2277.0,0.0,146.0,18.0,649.0,83.0,0.0,9.0,11.0,671.0,259.0,18.0,0.0,227.0,21.0,0.0,0.0,0.0,0.0,0.0,17.0
123,5211503,93435.0,42013.0,0.0,2135.0,1960.0,8798.0,2062.0,0.0,1590.0,252.0,17532.0,9970.0,528.0,0.0,3691.0,1987.0,1.0,17.0,0.0,8.0,14.0,877.0
124,5211602,850.0,381.0,0.0,15.0,1.0,115.0,21.0,0.0,4.0,3.0,242.0,24.0,4.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
125,5211701,3730.0,1573.0,0.0,143.0,43.0,499.0,80.0,0.0,50.0,10.0,867.0,109.0,20.0,0.0,226.0,89.0,0.0,1.0,0.0,1.0,1.0,18.0
126,5211800,28575.0,12707.0,0.0,580.0,98.0,3072.0,454.0,0.0,259.0,43.0,5775.0,3660.0,53.0,0.0,1539.0,170.0,0.0,7.0,0.0,1.0,3.0,154.0
127,5211909,87251.0,34392.0,0.0,2869.0,1354.0,11361.0,2336.0,0.0,658.0,188.0,17370.0,9495.0,335.0,0.0,3466.0,2282.0,3.0,23.0,0.0,5.0,18.0,1096.0
128,5212006,1566.0,622.0,0.0,31.0,8.0,168.0,23.0,0.0,20.0,5.0,528.0,38.0,7.0,0.0,104.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0
129,5212055,876.0,461.0,0.0,31.0,1.0,108.0,10.0,0.0,1.0,4.0,183.0,27.0,9.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,5212105,5541.0,2179.0,0.0,189.0,220.0,732.0,92.0,0.0,8.0,25.0,958.0,368.0,38.0,0.0,287.0,382.0,0.0,4.0,0.0,0.0,2.0,57.0
131,5212204,17689.0,6352.0,0.0,554.0,103.0,1880.0,322.0,0.0,106.0,28.0,4953.0,2081.0,29.0,0.0,1050.0,128.0,0.0,6.0,0.0,0.0,2.0,95.0
132,5212253,645.0,305.0,0.0,25.0,5.0,112.0,13.0,0.0,5.0,8.0,105.0,16.0,7.0,0.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
133,5212303,4038.0,1629.0,0.0,273.0,113.0,492.0,96.0,0.0,6.0,18.0,936.0,153.0,24.0,0.0,106.0,168.0,0.0,0.0,0.0,0.0,2.0,22.0
134,5212501,73971.0,35135.0,0.0,2698.0,911.0,5488.0,1581.0,0.0,161.0,329.0,15095.0,4369.0,633.0,0.0,5970.0,1198.0,16.0,20.0,1.0,8.0,22.0,336.0
135,5212600,1391.0,615.0,0.0,43.0,5.0,208.0,36.0,0.0,7.0,9.0,339.0,59.0,5.0,0.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0
136,5212709,3016.0,1215.0,0.0,91.0,80.0,343.0,60.0,0.0,10.0,4.0,754.0,167.0,43.0,0.0,104.0,124.0,0.0,0.0,0.0,0.0,1.0,20.0
137,5212808,6158.0,2367.0,0.0,180.0,34.0,923.0,105.0,0.0,101.0,16.0,1673.0,421.0,19.0,0.0,250.0,35.0,0.0,0.0,0.0,0.0,0.0,34.0
138,5212907,1330.0,642.0,0.0,42.0,12.0,137.0,24.0,0.0,3.0,6.0,281.0,107.0,6.0,0.0,52.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0
139,5212956,2156.0,766.0,0.0,65.0,18.0,257.0,36.0,0.0,10.0,6.0,744.0,126.0,9.0,0.0,87.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0
140,5213004,6783.0,2783.0,0.0,418.0,174.0,537.0,98.0,0.0,24.0,20.0,1221.0,605.0,138.0,0.0,341.0,410.0,0.0,1.0,0.0,1.0,1.0,11.0
141,5213053,406.0,191.0,0.0,10.0,2.0,47.0,16.0,0.0,1.0,8.0,89.0,11.0,8.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
142,5213087,21581.0,7106.0,0.0,537.0,63.0,2215.0,432.0,0.0,180.0,47.0,7183.0,3023.0,54.0,0.0,520.0,63.0,0.0,1.0,0.0,1.0,4.0,152.0
